CALENDAR_YEAR,LOCATION_ID,RACE_ETHNICITY,ALONE_OR_IN_COMBINATION,CNT
2017,CA-507,"Black, African American or African",In_Combination,51
2017,CA-507,Hispanic/Latina/e/o,Alone,50
2017,CA-507,Hispanic/Latina/e/o,Alone or In Combination,346
2017,CA-507,Hispanic/Latina/e/o,In_Combination,296
2017,CA-507,Native Hawaiian or Pacific Islander,Alone,13
2017,CA-507,Native Hawaiian or Pacific Islander,Alone or In Combination,27
2017,CA-507,Native Hawaiian or Pacific Islander,In_Combination,14
2017,CA-507,White,Alone,799
2017,CA-507,White,Alone or In Combination,1099
2017,CA-507,White,In_Combination,300
2017,CA-508,"American Indian, Alaska Native, or Indigenous",Alone,34
2017,CA-508,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,253
2017,CA-508,"American Indian, Alaska Native, or Indigenous",In_Combination,219
2017,CA-508,Asian or Asian American,Alone,15
2017,CA-508,Asian or Asian American,Alone or In Combination,34
2017,CA-508,Asian or Asian American,In_Combination,19
2017,CA-508,"Black, African American or African",Alone,92
2017,CA-508,"Black, African American or African",Alone or In Combination,135
2017,CA-508,"Black, African American or African",In_Combination,43
2017,CA-508,Hispanic/Latina/e/o,Alone,50
2017,CA-508,Hispanic/Latina/e/o,Alone or In Combination,658
2017,CA-508,Hispanic/Latina/e/o,In_Combination,608
2017,CA-508,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-508,Native Hawaiian or Pacific Islander,Alone or In Combination,30
2017,CA-508,Native Hawaiian or Pacific Islander,In_Combination,21
2017,CA-508,White,Alone,920
2017,CA-508,White,Alone or In Combination,1402
2017,CA-508,White,In_Combination,482
2017,CA-509,"American Indian, Alaska Native, or Indigenous",Alone,51
2017,CA-509,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,104
2017,CA-509,"American Indian, Alaska Native, or Indigenous",In_Combination,53
2017,CA-509,Asian or Asian American,Alone,*
2017,CA-509,Asian or Asian American,Alone or In Combination,*
2017,CA-509,Asian or Asian American,In_Combination,*
2017,CA-509,"Black, African American or African",Alone,39
2017,CA-509,"Black, African American or African",Alone or In Combination,51
2017,CA-509,"Black, African American or African",In_Combination,12
2017,CA-509,Hispanic/Latina/e/o,Alone,*
2017,CA-509,Hispanic/Latina/e/o,Alone or In Combination,93
2017,CA-509,Hispanic/Latina/e/o,In_Combination,86
2017,CA-509,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-509,Native Hawaiian or Pacific Islander,Alone or In Combination,*
2017,CA-509,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-509,White,Alone,564
2017,CA-509,White,Alone or In Combination,657
2017,CA-509,White,In_Combination,93
2017,CA-510,"American Indian, Alaska Native, or Indigenous",Alone,62
2017,CA-510,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,332
2017,CA-510,"American Indian, Alaska Native, or Indigenous",In_Combination,270
2017,CA-510,Asian or Asian American,Alone,67
2017,CA-510,Asian or Asian American,Alone or In Combination,136
2017,CA-510,Asian or Asian American,In_Combination,69
2017,CA-510,"Black, African American or African",Alone,608
2017,CA-510,"Black, African American or African",Alone or In Combination,961
2017,CA-510,"Black, African American or African",In_Combination,353
2017,CA-510,Hispanic/Latina/e/o,Alone,202
2017,CA-510,Hispanic/Latina/e/o,Alone or In Combination,2677
2017,CA-510,Hispanic/Latina/e/o,In_Combination,2475
2017,CA-510,Native Hawaiian or Pacific Islander,Alone,61
2017,CA-510,Native Hawaiian or Pacific Islander,Alone or In Combination,137
2017,CA-510,Native Hawaiian or Pacific Islander,In_Combination,76
2017,CA-510,White,Alone,2167
2017,CA-510,White,Alone or In Combination,4596
2017,CA-510,White,In_Combination,2429
2017,CA-511,"American Indian, Alaska Native, or Indigenous",Alone,51
2017,CA-511,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,265
2017,CA-511,"American Indian, Alaska Native, or Indigenous",In_Combination,214
2017,CA-511,Asian or Asian American,Alone,167
2017,CA-511,Asian or Asian American,Alone or In Combination,274
2017,CA-511,Asian or Asian American,In_Combination,107
2017,CA-511,"Black, African American or African",Alone,2584
2017,CA-511,"Black, African American or African",Alone or In Combination,3021
2017,CA-511,"Black, African American or African",In_Combination,437
2017,CA-511,Hispanic/Latina/e/o,Alone,347
2017,CA-511,Hispanic/Latina/e/o,Alone or In Combination,2553
2017,CA-511,Hispanic/Latina/e/o,In_Combination,2206
2017,CA-511,Native Hawaiian or Pacific Islander,Alone,67
2017,CA-511,Native Hawaiian or Pacific Islander,Alone or In Combination,132
2017,CA-511,Native Hawaiian or Pacific Islander,In_Combination,65
2017,CA-511,White,Alone,1928
